ozon_product_id,ozon_sku,offer_id,product_name,visibility,archived,has_stock,stock_qty,internal_sku,nm_id_wb,cogs_found,cogs_rub,campaign_id,assortment_status,included_in_active_audit,exclusion_reason
3630190465,3543342130,535580776,"EVETIS Энзимная пудра для умывания лица и тела с папаином и витамином С, энзимный пилинг для глубокого очищения, от чёрн",VISIBLE,false,true,24,EVT-EP-ENZYME-75,535580776,yes,159,32158176,ACTIVE_IN_STOCK,yes,
2882737539,2974977988,438775617,"EVETIS Крем для лица от прыщей с ниацинамидом и салициловой кислотой, 50 мл",VISIBLE,false,true,27,EVT-FC-ACNE-50,438775617,yes,145,32157965,ACTIVE_IN_STOCK,yes,
1567734095,1994674912,305101361,"EVETIS Сыворотка для лица от прыщей и акне с ниацинамидом, салициловой и гликолевой кислотой от чёрных точек и постакне,",VISIBLE,false,true,2,EVT-FS-ACNE-30,305101361,yes,138,33703975,ACTIVE_IN_STOCK,yes,
1563818723,1991772098,305101272,"EVETIS Сыворотка для лица увлажняющая с витамином С, гиалуроновой кислотой и центеллой азиатской, осветляющая, антиоксид",VISIBLE,false,true,13,EVT-FS-MOIST-30,305101272,yes,133,32157947,ACTIVE_IN_STOCK,yes,
3610669117,3530427102,535581675,"EVETIS Тоник для лица от прыщей и акне, тонер салициловый с ниацинамидом, очищающий, для жирной и проблемной кожи, без с",VISIBLE,false,true,17,EVT-FT-ACNE-150,535581675,yes,182,32157988,ACTIVE_IN_STOCK,yes,
3609814812,3528293526,535581674,"EVETIS Тоник для лица увлажняющий с гиалуроновой кислотой, тонер очищающий и успокаивающий, для сухой, чувствительной и ",VISIBLE,false,true,30,EVT-FT-MOIST-150,535581674,yes,182,33678288,ACTIVE_IN_STOCK,yes,
4072056117,3930712640,593111985,"EVETIS Крем для тела и рук увлажняющий парфюмированный с церамидами, крем-суфле для сухой кожи, с дозатором, 300 мл",VISIBLE,false,true,18,EVT-HC-AMBER-300,593111985,yes,172,33678192,ACTIVE_IN_STOCK,yes,
4071980840,3892518031,593111986,"EVETIS Крем для тела и рук парфюмированный увлажняющий с церамидами, крем-суфле для сухой кожи, с дозатором, 300 мл",VISIBLE,false,true,16,EVT-HC-CHERRY-300,593111986,yes,172,32157919,ACTIVE_IN_STOCK,yes,
1571076768,1997079254,252442517,"EVETIS Крем для рук и тела парфюмированный увлажняющий с маслом ши и молочной кислотой, для сухой кожи, с дозатором, 300",VISIBLE,false,true,9,EVT-HC-HAND-300,252442517,yes,240,32157891,ACTIVE_IN_STOCK,yes,
3874879926,3733452761,868597351,"EVETIS Набор от прыщей и акне для проблемной кожи, 4 шага: энзимная пудра для умывания, тоник, сыворотка и крем для лица",VISIBLE,false,true,7,EVT-SET-4PC-ACNE,868597351,yes,624,32158051,ACTIVE_IN_STOCK,yes,
3875545018,3733947454,909951444,"EVETIS Набор от прыщей и акне для проблемной кожи, 3 шага: Энзимная пудра, сыворотка и крем для лица с ниацинамидом, сал",VISIBLE,false,true,6,EVT-SET-ACNE-POWDER-SERUM-CREAM,909951444,yes,442,32158299,ACTIVE_IN_STOCK,yes,
5223140100,4843362212,1083392113,"EVETIS Набор от прыщей и акне для лица: тоник салициловый + сыворотка с ниацинамидом, для жирной и проблемной кожи, без ",VISIBLE,false,true,11,EVT-SET-ACNE-TONIC-SERUM,1083392113,yes,320,33678331,ACTIVE_IN_STOCK,yes,
4071646113,3892223191,930334397,"EVETIS Набор кремов для тела и рук парфюмированный увлажняющий с церамидами, крем-суфле, 2 шт 300 мл",VISIBLE,false,true,21,EVT-SET-CHERRY-AMBER,930334397,yes,344,33678220,ACTIVE_IN_STOCK,yes,
4071875240,3892410843,930334396,"EVETIS Набор парфюмированных кремов для рук и тела с церамидами, 2 шт 300 мл",VISIBLE,false,true,16,EVT-SET-HAND-AMBER,930334396,yes,412,33678220,ACTIVE_IN_STOCK,yes,
4071797739,3892345516,930334395,"EVETIS Набор парфюмированных кремов для рук и тела с церамидами, 2 шт 300 мл",VISIBLE,false,true,13,EVT-SET-HAND-CHERRY,930334395,yes,412,33678220,ACTIVE_IN_STOCK,yes,
3877203725,3735183318,910330849,"EVETIS Набор для лица увлажняющий, 2 шага: тоник и сыворотка с витамином С, гиалуроновой кислотой, центеллой и пробиотик",VISIBLE,false,true,7,EVT-SET-MOIST-TONIC-SERUM,910330849,yes,315,33678331,ACTIVE_IN_STOCK,yes,
3873801234,3732641694,567668635,"EVETIS Набор от прыщей и акне для лица: сыворотка с ниацинамидом и салициловой кислотой + крем для проблемной кожи, уход",VISIBLE,false,true,4,EVT-SET-SER-CREAM-ACNE,567668635,yes,283,33678261,ACTIVE_IN_STOCK,yes,
3877861344,3735674506,910584041,"EVETIS Набор от прыщей и акне: тоник, сыворотка и крем для лица",VISIBLE,false,true,10,EVT-SET-TON-SER-CREAM-ACNE,910584041,yes,465,32158008,ACTIVE_IN_STOCK,yes,
2875763373,2969806788,438775437,"EVETIS Крем для лица увлажняющий, для сухой и нормальной кожи с дозатором, 50 мл",NO_STOCK,false,false,0,EVT-FC-MOIST-50,438775437,yes,145,,OUT_OF_STOCK,no,OUT_OF_STOCK_ON_OZON
3874171160,3732933477,567668636,"EVETIS Набор увлажняющий для лица: сыворотка с витамином С и гиалуроновой кислотой + крем с алоэ, для сияния и увлажнени",NO_STOCK,false,false,0,EVT-SET-SER-CREAM-MOIST,567668636,yes,278,,OUT_OF_STOCK,no,OUT_OF_STOCK_ON_OZON
